skills:[[6, -1, 0], [1, 4, 5], [-1, 3, 3]], reward:8.4, epsilon:1.0
skills:[[2, 2, 0], [1, 7, 3], [4, 7, 4]], reward:9.0, epsilon:1.0
skills:[[-1, 1, 3], [7, 4, 1], [5, 0, 4]], reward:10.8, epsilon:1.0
skills:[[2, 0, 4], [3, 1, 2], [4, 1, 3]], reward:16.8, epsilon:1.0
skills:[[2, -1, 3], [4, 3, 5], [5, 1, 1]], reward:7.9, epsilon:1.0
skills:[[5, 3, 5], [1, 7, 4], [0, 0, 3]], reward:10.6, epsilon:1.0
skills:[[4, 0, 5], [5, 5, 5], [7, 0, 5]], reward:8.5, epsilon:1.0
skills:[[5, 1, 3], [2, 1, 4], [2, 7, 3]], reward:9.6, epsilon:1.0
skills:[[2, 4, 2], [-1, 0, 4], [2, 3, 3]], reward:8.7, epsilon:1.0
skills:[[1, 3, -1], [3, 4, 6], [2, 1, 1]], reward:12.1, epsilon:1.0
skills:[[6, 0, 3], [0, 1, -1], [-1, 1, 6]], reward:9.6, epsilon:1.0
skills:[[7, 3, 3], [7, 6, 0], [5, 1, -1]], reward:9.1, epsilon:1.0
skills:[[3, 1, 5], [6, 4, 3], [7, 1, 7]], reward:9.2, epsilon:1.0
skills:[[4, 4, 5], [5, 5, 3], [5, 0, 1]], reward:4.3, epsilon:1.0
skills:[[0, 3, 2], [-1, 3, 4], [6, 2, 2]], reward:8.3, epsilon:1.0
skills:[[4, 3, 2], [7, 2, 0], [-1, 2, 0]], reward:7.6, epsilon:1.0
skills:[[0, 5, 2], [7, 1, 5], [6, 2, 4]], reward:5.3, epsilon:1.0
skills:[[5, 3, 2], [0, -1, -1], [1, 3, 7]], reward:10.4, epsilon:1.0
skills:[[1, 1, 7], [2, 3, 1], [1, 6, 5]], reward:9.2, epsilon:1.0
skills:[[3, -1, 5], [3, 1, 2], [-1, 2, 3]], reward:8.1, epsilon:1.0
skills:[[-1, 6, 3], [2, 2, 1], [6, 0, -1]], reward:10.6, epsilon:1.0
skills:[[4, 0, 3], [4, 5, 2], [-1, 7, -1]], reward:10.4, epsilon:1.0
skills:[[-1, 4, 2], [1, 3, 5], [6, 5, 4]], reward:6.5, epsilon:1.0
skills:[[7, 2, 4], [4, 1, 0], [-1, 2, 5]], reward:13.1, epsilon:1.0
skills:[[7, 3, -1], [4, 4, 4], [5, 4, 4]], reward:9.3, epsilon:1.0
skills:[[7, 0, 1], [4, 3, 0], [1, 3, 5]], reward:8.7, epsilon:1.0
skills:[[-1, 4, 1], [4, 7, 5], [4, 0, 4]], reward:11.3, epsilon:1.0
skills:[[6, 5, 5], [2, 4, 6], [0, 6, 4]], reward:8.7, epsilon:1.0
skills:[[3, 4, -1], [1, 4, 0], [0, -1, 7]], reward:22.0, epsilon:1.0
skills:[[5, 7, 2], [-1, 5, 2], [3, 1, 7]], reward:9.4, epsilon:1.0
skills:[[4, 7, 5], [4, 0, 1], [1, -1, 0]], reward:28.8, epsilon:1.0
skills:[[6, 0, 3], [1, 5, 5], [1, 2, 6]], reward:7.7, epsilon:1.0
skills:[[7, -1, 1], [3, -1, 1], [1, 3, 3]], reward:12.3, epsilon:1.0
skills:[[1, 4, 0], [1, 6, 4], [-1, 1, 3]], reward:24.0, epsilon:1.0
skills:[[-1, 4, -1], [6, 7, 5], [2, -1, 4]], reward:7.9, epsilon:1.0
skills:[[4, 5, 3], [2, 0, 5], [5, 3, 0]], reward:5.5, epsilon:1.0
skills:[[5, 2, 7], [0, 0, 4], [1, 2, 3]], reward:6.9, epsilon:1.0
